Timestamp	Filename	Error	Message
2018-11-05 09:50:09.049 -0800	AMMcenter.fmp12	0	Script “fmajax.set_hash ( data )” imported as “fmajax.set_hash ( data ) 2” since a script named “fmajax.set_hash ( data )” already exists.
2018-11-05 09:50:09.050 -0800	AMMcenter.fmp12	0	Script “fmajax.export_web_files ( [filename] )” imported as “fmajax.export_web_files ( [filename] ) 2” since a script named “fmajax.export_web_files ( [filename] )” already exists.
2018-11-05 09:50:09.050 -0800	AMMcenter.fmp12	0	Script “fmajax.set_file ( data )” imported as “fmajax.set_file ( data ) 2” since a script named “fmajax.set_file ( data )” already exists.
2018-11-05 09:50:09.051 -0800	AMMcenter.fmp12	0	Script “fmajax.set_receiving_viewer ( object name )” imported as “fmajax.set_receiving_viewer ( object name ) 2” since a script named “fmajax.set_receiving_viewer ( object name )” already exists.
2018-11-05 09:50:09.052 -0800	AMMcenter.fmp12	0	Script “fmajax.set_callback ( js function name )” imported as “fmajax.set_callback ( js function name ) 2” since a script named “fmajax.set_callback ( js function name )” already exists.
2018-11-05 09:50:09.053 -0800	AMMcenter.fmp12	0	Script “fmajax.new_code_file” imported as “fmajax.new_code_file 2” since a script named “fmajax.new_code_file” already exists.
2018-11-05 09:50:09.053 -0800	AMMcenter.fmp12	0	Script “fmajax.new_web_viewer” imported as “fmajax.new_web_viewer 2” since a script named “fmajax.new_web_viewer” already exists.
2018-11-05 09:50:09.054 -0800	AMMcenter.fmp12	0	Script “fmajax.set_dev_path” imported as “fmajax.set_dev_path 2” since a script named “fmajax.set_dev_path” already exists.
2018-11-05 09:50:09.055 -0800	AMMcenter.fmp12	0	Script “Private” imported as “Private 2” since a script named “Private” already exists.
2018-11-05 09:50:09.056 -0800	AMMcenter.fmp12	0	Script “fmajax.exportXSL” imported as “fmajax.exportXSL 2” since a script named “fmajax.exportXSL” already exists.
2018-11-05 09:50:09.056 -0800	AMMcenter.fmp12	0	Script “JSONEncode” imported as “JSONEncode 2” since a script named “JSONEncode” already exists.
2018-11-05 09:50:09.059 -0800	Example Scripts	0	script steps imported : 0
2018-11-05 09:50:09.060 -0800	onDBOpen::2::Go to Layout	105	Layout “Introduction” missing.
2018-11-05 09:50:09.061 -0800	onDBOpen	0	script steps imported : 2
2018-11-05 09:50:09.063 -0800	onDBClose::8::Go to Layout	105	Layout “Introduction” missing.
2018-11-05 09:50:09.064 -0800	onDBClose::10::Replace Field Contents	102	Field “url” missing.
2018-11-05 09:50:09.065 -0800	onDBClose	0	script steps imported : 11
2018-11-05 09:50:09.066 -0800	send_message_to_file::3::Set Variable	106	Table referred to in the calculation “main::message” is missing.
2018-11-05 09:50:09.067 -0800	send_message_to_file	0	script steps imported : 4
2018-11-05 09:50:09.068 -0800	send_messge_to_hash::3::Perform Script	106	Table referred to in the calculation “main::message” is missing.
2018-11-05 09:50:09.068 -0800	send_messge_to_hash	0	script steps imported : 3
2018-11-05 09:50:09.069 -0800	get_message::2::Set Variable	106	Table referred to in the calculation “Case (	not IsEmpty ( $_argument ) ; 	$_argument ;	$_getmessage ; 	main::message ;	Get ( ScriptParameter ))” is missing.
2018-11-05 09:50:09.070 -0800	get_message	0	script steps imported : 3
2018-11-05 09:50:09.072 -0800	quote_me	0	script steps imported : 5
2018-11-05 09:50:09.072 -0800	--	0	script steps imported : 0
2018-11-05 09:50:09.073 -0800	Modules 2	0	script steps imported : 0
2018-11-05 09:50:09.074 -0800	fmajax 2	0	script steps imported : 0
2018-11-05 09:50:09.082 -0800	fmajax.READ ME 2	0	script steps imported : 102
2018-11-05 09:50:09.084 -0800	Public 2	0	script steps imported : 0
2018-11-05 09:50:09.086 -0800	fmajax.init 2	0	script steps imported : 14
2018-11-05 09:50:09.088 -0800	fmajax.return_temp_path 2	0	script steps imported : 2
2018-11-05 09:50:09.094 -0800	fmajax.(re)load_web_viewer ( [object name] ) 2	0	script steps imported : 27
2018-11-05 09:50:09.101 -0800	fmajax.import_web_files ( [filename] ) 2	0	script steps imported : 35
2018-11-05 09:50:09.111 -0800	fmajax.set_hash ( data ) 2	0	script steps imported : 41
2018-11-05 09:50:09.119 -0800	fmajax.export_web_files ( [filename] ) 2	0	script steps imported : 36
2018-11-05 09:50:09.124 -0800	fmajax.set_file ( data ) 2	0	script steps imported : 30
2018-11-05 09:50:09.126 -0800	fmajax.set_receiving_viewer ( object name ) 2	0	script steps imported : 9
2018-11-05 09:50:09.128 -0800	fmajax.set_callback ( js function name ) 2	0	script steps imported : 9
2018-11-05 09:50:09.131 -0800	fmajax.new_code_file 2	0	script steps imported : 18
2018-11-05 09:50:09.135 -0800	fmajax.new_web_viewer 2	0	script steps imported : 20
2018-11-05 09:50:09.138 -0800	fmajax.set_dev_path 2	0	script steps imported : 7
2018-11-05 09:50:09.139 -0800	--	0	script steps imported : 0
2018-11-05 09:50:09.139 -0800	Private 2	0	script steps imported : 0
2018-11-05 09:50:09.142 -0800	fmajax.exportXSL 2	0	script steps imported : 13
2018-11-05 09:50:09.145 -0800	JSONEncode 2	0	script steps imported : 3
2018-11-05 09:50:09.146 -0800	--	0	script steps imported : 0
2018-11-05 09:50:09.147 -0800	--	0	script steps imported : 0
2018-11-05 09:50:09.148 -0800	--	0	script steps imported : 0
2018-11-05 09:50:09.148 -0800	AMMcenter.fmp12	0	scripts imported : 26
2018-11-05 09:50:09.149 -0800	AMMcenter.fmp12	0	Import completed
2018-11-05 09:58:35.647 -0800	AMMcenter.fmp12	0	Import of scripts from file “FMAjax.fmp12” started
2018-11-05 09:58:35.649 -0800	AMMcenter.fmp12	0	Script “Example Scripts” imported as “Example Scripts 2” since a script named “Example Scripts” already exists.
2018-11-05 09:58:35.650 -0800	AMMcenter.fmp12	0	Script “onDBOpen” imported as “onDBOpen 2” since a script named “onDBOpen” already exists.
2018-11-05 09:58:35.651 -0800	AMMcenter.fmp12	0	Script “onDBClose” imported as “onDBClose 2” since a script named “onDBClose” already exists.
2018-11-05 09:58:35.652 -0800	AMMcenter.fmp12	0	Script “send_message_to_file” imported as “send_message_to_file 2” since a script named “send_message_to_file” already exists.
2018-11-05 09:58:35.652 -0800	AMMcenter.fmp12	0	Script “send_messge_to_hash” imported as “send_messge_to_hash 2” since a script named “send_messge_to_hash” already exists.
2018-11-05 09:58:35.653 -0800	AMMcenter.fmp12	0	Script “get_message” imported as “get_message 2” since a script named “get_message” already exists.
2018-11-05 09:58:35.654 -0800	AMMcenter.fmp12	0	Script “quote_me” imported as “quote_me 2” since a script named “quote_me” already exists.
2018-11-05 09:58:35.655 -0800	AMMcenter.fmp12	0	Script “Modules” imported as “Modules 3” since a script named “Modules” already exists.
2018-11-05 09:58:35.656 -0800	AMMcenter.fmp12	0	Script “fmajax” imported as “fmajax 3” since a script named “fmajax” already exists.
2018-11-05 09:58:35.658 -0800	AMMcenter.fmp12	0	Script “fmajax.READ ME” imported as “fmajax.READ ME 3” since a script named “fmajax.READ ME” already exists.
2018-11-05 09:58:35.658 -0800	AMMcenter.fmp12	0	Script “Public” imported as “Public 3” since a script named “Public” already exists.
2018-11-05 09:58:35.659 -0800	AMMcenter.fmp12	0	Script “fmajax.init” imported as “fmajax.init 3” since a script named “fmajax.init” already exists.
2018-11-05 09:58:35.660 -0800	AMMcenter.fmp12	0	Script “fmajax.return_temp_path” imported as “fmajax.return_temp_path 3” since a script named “fmajax.return_temp_path” already exists.
2018-11-05 09:58:35.661 -0800	AMMcenter.fmp12	0	Script “fmajax.(re)load_web_viewer ( [object name] )” imported as “fmajax.(re)load_web_viewer ( [object name] ) 3” since a script named “fmajax.(re)load_web_viewer ( [object name] )” already exists.
2018-11-05 09:58:35.663 -0800	AMMcenter.fmp12	0	Script “fmajax.import_web_files ( [filename] )” imported as “fmajax.import_web_files ( [filename] ) 3” since a script named “fmajax.import_web_files ( [filename] )” already exists.
2018-11-05 09:58:35.664 -0800	AMMcenter.fmp12	0	Script “fmajax.set_hash ( data )” imported as “fmajax.set_hash ( data ) 3” since a script named “fmajax.set_hash ( data )” already exists.
2018-11-05 09:58:35.666 -0800	AMMcenter.fmp12	0	Script “fmajax.export_web_files ( [filename] )” imported as “fmajax.export_web_files ( [filename] ) 3” since a script named “fmajax.export_web_files ( [filename] )” already exists.
2018-11-05 09:58:35.667 -0800	AMMcenter.fmp12	0	Script “fmajax.set_file ( data )” imported as “fmajax.set_file ( data ) 3” since a script named “fmajax.set_file ( data )” already exists.
2018-11-05 09:58:35.668 -0800	AMMcenter.fmp12	0	Script “fmajax.set_receiving_viewer ( object name )” imported as “fmajax.set_receiving_viewer ( object name ) 3” since a script named “fmajax.set_receiving_viewer ( object name )” already exists.
2018-11-05 09:58:35.669 -0800	AMMcenter.fmp12	0	Script “fmajax.set_callback ( js function name )” imported as “fmajax.set_callback ( js function name ) 3” since a script named “fmajax.set_callback ( js function name )” already exists.
2018-11-05 09:58:35.670 -0800	AMMcenter.fmp12	0	Script “fmajax.new_code_file” imported as “fmajax.new_code_file 3” since a script named “fmajax.new_code_file” already exists.
2018-11-05 09:58:35.671 -0800	AMMcenter.fmp12	0	Script “fmajax.new_web_viewer” imported as “fmajax.new_web_viewer 3” since a script named “fmajax.new_web_viewer” already exists.
2018-11-05 09:58:35.672 -0800	AMMcenter.fmp12	0	Script “fmajax.set_dev_path” imported as “fmajax.set_dev_path 3” since a script named “fmajax.set_dev_path” already exists.
2018-11-05 09:58:35.673 -0800	AMMcenter.fmp12	0	Script “Private” imported as “Private 3” since a script named “Private” already exists.
